{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 3.18.229.72 47187 443 6 20 6350 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 3.18.229.72 172.22.4.87 443 47187 6 10 4086 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.21.193.30 45563 1433 6 20 1280 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.21.193.30 172.22.4.87 1433 45563 6 20 820 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601223000, 'message': '2 858737304353 eni-06ed5423 172.21.193.30 172.22.4.87 1433 46106 6 20 820 1569601223 1569601823 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 40997 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 34184 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 55755 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 54937 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 48478 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39789 6379 6 4 240 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
