{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 37464 123 17 1 76 1569792231 1569792290 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 37464 17 1 76 1569792231 1569792290 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 48201 123 17 1 76 1569792231 1569792290 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 13.77.69.154 54284 443 6 86 94170 1569792231 1569792831 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792231000, 'message': '2 926668386439 eni-028f9998471142aba 13.77.69.154 172.24.5.198 443 54284 6 172 22704 1569792231 1569792831 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.24.198.174 35704 53 17 1 75 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.24.3.248 56198 443 6 12 3520 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.24.198.174 38023 53 17 1 73 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.198.174 172.24.5.198 53 35704 17 1 244 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.3.248 172.24.5.198 443 56198 6 9 5224 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.198.174 172.24.5.198 53 38023 17 1 304 1569792303 1569792350 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 54.239.28.168 172.24.5.198 443 33384 6 20 7692 1569792303 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
