{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 60162 17 1 163 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 49971 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 44063 17 1 291 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 54132 17 1 292 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 49469 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 53323 17 1 292 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 46695 53 17 1 80 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 43737 17 1 292 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 49469 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 49971 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 40406 53 17 1 73 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 59816 17 1 292 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 54132 53 17 1 80 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 59941 53 17 1 80 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 42940 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 44063 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 36564 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 50217 17 1 163 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
