{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36822 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36808 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36806 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36827 1433 6 14 2942 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36804 1433 6 14 2942 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36833 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.222 1433 36844 6 14 2681 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.222 172.24.33.13 36829 1433 6 15 4270 1569824485 1569824544 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 135 58566 6 26 4592 1569824485 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58566 135 6 49 2664 1569824485 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58567 135 6 57 26719 1569824485 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824485000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 135 58567 6 34 30702 1569824485 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.195.201 49531 88 6 5 3042 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.195.201 172.24.33.13 88 49531 6 5 376 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.198.174 172.24.33.13 53 61196 17 1 313 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 52.94.235.128 172.24.33.13 443 49533 6 20 6872 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.20.193.99 172.24.33.13 35706 161 17 4 300 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.195.201 172.24.33.13 88 49530 6 6 1898 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 52.94.235.128 49533 443 6 15 3181 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
