{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 34382 53 17 1 61 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 22366 53 17 1 61 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 26751 17 1 296 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 22366 17 1 296 1569799314 1569799373 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 1194 1194 17 198 36326 1569799314 1569799913 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799314000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 1194 1194 17 200 90728 1569799314 1569799913 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 32739 17 1 296 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 7216 53 17 1 61 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 43355 17 1 296 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 12900 17 1 296 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
