{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 22 39453 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 105 22 6 1 48 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 13 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 12346 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 8080 50527 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 22 5184 6 1 48 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 23 39448 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1042 17 1 29 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39456 512 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 7778 17 1 36 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 9875 17 1 29 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 139 53072 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39443 139 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39448 23 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 636 39450 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1033 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1048 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 1433 39449 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 500 500 17 2 1016 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 39445 3269 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 4784 39443 6 1 40 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 6771 17 2 58 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 53072 139 6 1 44 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
