{'timestamp': 1569512707000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 2 635 1569512707 1569512756 ACCEPT OK', 'ingestionTime': 1569512777020, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512707000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 1 401 1569512707 1569512756 ACCEPT OK', 'ingestionTime': 1569512777020, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512762000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 10 3175 1569512762 1569513056 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512762000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 5 2005 1569512762 1569513056 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512826000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 1 52 1569512826 1569512876 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569512826000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 1 60 1569512826 1569512876 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513011000, 'message': '2 858737304353 eni-614fef78 172.20.196.146 172.22.3.175 123 123 17 1 76 1569513011 1569513056 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513011000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.196.146 123 123 17 1 76 1569513011 1569513056 ACCEPT OK', 'ingestionTime': 1569513376077, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513068000, 'message': '2 858737304353 eni-614fef78 172.21.210.146 172.22.3.175 123 123 17 1 76 1569513068 1569513116 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513068000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.21.210.146 123 123 17 1 76 1569513068 1569513116 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513068000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 8 2540 1569513068 1569513297 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513068000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 4 1604 1569513068 1569513297 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 36002 53 17 2 178 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 54743 53 17 2 168 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.25 57164 389 6 8 793 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 36002 17 2 581 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 48959 53 17 2 178 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 2 112 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.24.195.201 172.22.3.175 389 60154 6 3 561 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 48959 17 2 581 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.20.192.26 172.22.3.175 389 51008 6 6 491 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 37161 17 2 551 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.26 51008 389 6 8 1048 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.193.240 52026 389 6 7 741 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 2 112 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.20.192.25 172.22.3.175 389 57164 6 5 300 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.195.201 60154 389 6 6 664 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.20.193.240 172.22.3.175 389 52026 6 5 300 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 54743 17 2 359 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513131000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 37161 53 17 2 148 1569513131 1569513177 ACCEPT OK', 'ingestionTime': 1569513376125, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513305000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 2 453 1569513305 1569513357 ACCEPT OK', 'ingestionTime': 1569513376078, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513305000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 2 635 1569513305 1569513357 ACCEPT OK', 'ingestionTime': 1569513376078, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513372000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 18.223.147.124 54818 443 6 8 2540 1569513372 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513372000, 'message': '2 858737304353 eni-614fef78 18.223.147.124 172.22.3.175 443 54818 6 5 1656 1569513372 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513432000, 'message': '2 858737304353 eni-614fef78 172.23.20.27 172.22.3.175 5672 44607 6 1 52 1569513432 1569513477 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513432000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.23.20.27 44607 5672 6 1 60 1569513432 1569513477 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513537000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.21.210.146 123 123 17 1 76 1569513537 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513537000, 'message': '2 858737304353 eni-614fef78 172.20.196.146 172.22.3.175 123 123 17 1 76 1569513537 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513537000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.196.146 123 123 17 1 76 1569513537 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513537000, 'message': '2 858737304353 eni-614fef78 172.21.210.146 172.22.3.175 123 123 17 1 76 1569513537 1569513597 ACCEPT OK', 'ingestionTime': 1569513977262, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 53678 17 2 597 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 49702 53 17 2 150 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 37170 17 1 284 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.20.192.27 172.22.3.175 389 43979 6 5 300 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 60098 17 1 259 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 60315 53 17 2 150 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 37170 53 17 1 73 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 38005 53 17 2 150 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.250 22 53338 6 24 4585 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.250 22 53339 6 23 4133 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.27 43981 389 6 8 1046 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.195.201 172.22.3.175 389 60158 6 3 980 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.20.192.250 22 53337 6 22 3969 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.22.3.175 172.24.198.174 53082 53 17 1 73 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.198.174 172.22.3.175 53 45368 17 2 393 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
{'timestamp': 1569513613000, 'message': '2 858737304353 eni-614fef78 172.24.195.201 172.22.3.175 389 60154 6 2 92 1569513613 1569513657 ACCEPT OK', 'ingestionTime': 1569513977426, 'hostname': 'box-provider-haarp-1'}
