{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41544 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41542 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41512 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41507 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41529 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41535 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41513 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41483 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41480 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.20.192.31 172.24.3.248 11104 41552 6 8 2316 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41499 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41501 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41511 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41541 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41574 443 6 14 2496 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41491 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 52.216.184.181 172.24.3.248 443 41506 6 16 4266 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41496 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41514 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
{'timestamp': 1569838775000, 'message': '2 926668386439 eni-030d64f8e3df93975 172.24.3.248 52.216.184.181 41535 443 6 14 894 1569838775 1569838835 ACCEPT OK', 'ingestionTime': 1569838940559, 'hostname': 'naaws_01'}
