{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.196.146 123 123 17 1 76 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54588 6557 6 7 1771 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 35485 17 1 288 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.24.198.174 47147 53 17 1 73 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55668 6557 6 6 538 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55696 6 6 440 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54626 6 6 342 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54577 6557 6 7 2318 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55679 6557 6 6 538 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54628 6557 6 7 1771 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55674 6557 6 7 2405 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55654 6557 6 7 2405 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
