{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 1121 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64506 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 1161 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64366 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64308 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 162.247.242.5 172.24.227.218 443 58880 6 14 3677 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64492 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 162.247.242.5 58887 443 6 11 1819 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.24.195.201 53 60241 17 1 89 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.192.27 53 56267 17 1 154 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 162.247.242.5 172.24.227.218 443 58883 6 14 3677 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64734 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64654 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 162.247.242.5 58885 443 6 11 1823 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64624 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64714 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64684 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.21.192.200 172.24.227.218 53 49473 17 1 268 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64548 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 1257 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 162.247.242.5 58881 443 6 16 6729 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64444 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64770 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64978 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 1213 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.24.227.218 172.20.213.69 389 64624 6 3 152 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.192.27 172.24.227.218 56267 53 17 1 81 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 1257 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
{'timestamp': 1569837268000, 'message': '2 647523064133 eni-354fd064 172.20.213.69 172.24.227.218 64948 389 6 3 164 1569837268 1569837325 ACCEPT OK', 'ingestionTime': 1569837500145, 'hostname': 'pwawsdc02'}
