{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 55909 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 35930 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42248 6 8 4182 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42152 6 8 4202 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42228 80 6 8 551 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 38230 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42413 6 17 18058 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 56390 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 35552 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42163 6 6 629 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
