{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51580 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 50706 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53890 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52682 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50560 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51204 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52538 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.219.200 172.24.195.201 8413 54099 6 81 7265 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53202 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53566 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
