{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 58047 17 1 384 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 47362 53 17 1 76 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 48479 53 17 1 68 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 52.96.70.242 172.24.0.140 993 32994 6 22 6073 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 162.247.242.5 172.24.0.140 443 35438 6 14 3845 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 52.96.70.242 32994 993 6 19 1568 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 42065 53 17 1 76 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 172.24.198.174 43484 53 17 2 152 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 47392 17 1 133 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.198.174 172.24.0.140 53 47362 17 1 260 1569837733 1569837793 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 172.24.0.140 162.247.242.5 35460 443 6 12 2052 1569837733 1569837854 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 162.247.242.5 172.24.0.140 443 35470 6 13 3793 1569837733 1569837854 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
{'timestamp': 1569837733000, 'message': '2 926668386439 eni-08bc1a282a197cc6f 162.247.242.5 172.24.0.140 443 35462 6 14 3845 1569837733 1569837854 ACCEPT OK', 'ingestionTime': 1569838227233, 'hostname': 'plnasjira'}
