{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39879 42528 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39736 61157 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38011 2680 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37419 3011 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38237 52957 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36428 30954 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37170 44812 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36816 10445 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36574 42448 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39913 1930 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37756 24245 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37180 36699 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 37929 38997 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36933 3712 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 39072 10290 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 38257 14311 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
{'timestamp': 1569824058000, 'message': '2 858737304353 eni-23395d54 64.39.99.27 172.22.45.216 36765 56485 6 1 44 1569824058 1569824116 REJECT OK', 'ingestionTime': 1569824179983, 'hostname': 'LAB-NAT-1c'}
