{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39396 6 12 7406 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47650 6 54 63980 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47666 6 92 61382 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.20.192.222 0 0 1 5 420 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816595000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47650 443 6 25 2364 1569816595 1569816602 ACCEPT OK', 'ingestionTime': 1569816640787, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 52.94.227.239 51146 443 6 13 2091 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47690 6 119 64736 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39338 6 55 64456 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47664 6 67 65636 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.198.174 51717 53 17 2 160 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
