{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 49542 17 1 165 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 36328 17 1 298 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 39488 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 39488 17 1 298 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 54379 17 1 165 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 40664 17 1 298 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 54379 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 16114 17 1 165 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 40664 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 30331 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
