{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 45387 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 54863 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 49537 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 32917 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 54863 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 59037 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 44413 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 43402 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 37183 17 1 283 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 44284 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 39155 17 2 443 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 37183 53 17 1 73 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607355000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 37353 53 17 2 156 1569607355 1569607409 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 33717 53 17 2 156 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 49313 17 1 283 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 55382 53 17 1 73 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 47352 53 17 1 73 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 55382 17 1 283 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 33717 17 2 443 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 48294 53 17 2 156 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 47352 17 1 283 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 44179 17 2 443 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 39786 17 2 443 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 50290 17 1 283 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 49313 53 17 1 73 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 47575 53 17 2 156 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.23.20.72 172.24.198.174 44179 53 17 2 156 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
{'timestamp': 1569607415000, 'message': '2 858737304353 eni-587e6875 172.24.198.174 172.23.20.72 53 47575 17 2 443 1569607415 1569607469 ACCEPT OK', 'ingestionTime': 1569607721431, 'hostname': 'dlawschef-01-1'}
