{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 56830 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 53996 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 44149 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33359 6 13 3793 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 48798 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 44861 17 1 528 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 37190 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 47373 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 47373 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.198.174 172.24.225.60 53 37442 17 1 133 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 46008 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33362 443 6 17 5954 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 37442 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
