{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.65 1433 32970 6 28 1800 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.65 172.24.0.220 32970 1433 6 42 2676 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 55168 1433 6 23 1448 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 48972 6 18 844 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.95 172.24.0.220 53224 1433 6 31 1960 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 58154 6 21 1135 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 46642 1433 6 18 1128 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 48972 1433 6 20 1256 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.95 1433 53224 6 23 1301 1569828964 1569829383 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 57312 1433 6 17 1064 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.21.192.45 1433 45453 6 17 719 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.95 172.24.0.220 53688 1433 6 16 1000 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.65 1433 34934 6 18 844 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.66 1433 55836 6 23 1301 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.65 172.24.0.220 34934 1433 6 20 1256 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.62 172.24.0.220 45478 1433 6 36 2280 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.89 1433 57312 6 17 719 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.89 1433 56176 6 17 803 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
