{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.23.25.241 80 34683 6 349 474968 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.32.195 53428 443 6 15 2084 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 36302 17 1 528 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 53559 17 1 528 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 38852 17 2 437 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 56140 7990 6 9 913 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 162.247.242.5 172.24.32.213 443 55864 6 12 3741 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 3.223.166.221 50194 443 6 12 2021 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 54186 7999 6 23 3542 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 58855 17 2 551 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.28.16.2 172.24.32.213 1433 39556 6 117 52255 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 41375 17 1 429 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 56144 7990 6 9 901 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7990 56148 6 8 2390 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7999 54072 6 21 4978 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7999 54094 6 22 8110 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 56148 7990 6 9 907 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.32.195 53370 443 6 25 2268 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 162.247.242.5 55840 443 6 10 1946 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 162.247.242.5 172.24.32.213 443 55886 6 10 3637 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 42302 17 2 437 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 54182 7999 6 17 2814 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.23.25.241 172.24.32.213 34683 80 6 186 9712 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.198.174 44324 53 17 2 178 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7999 54056 6 23 19570 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.198.174 54529 53 17 1 76 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7990 55868 6 8 2899 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.20.192.25 45744 389 6 8 792 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.20.192.25 172.24.32.213 389 45558 6 5 300 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 54168 7999 6 23 3542 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.198.174 172.24.32.213 53 42773 17 2 437 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.7.77 54360 7999 6 22 3490 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 3.223.166.191 172.24.32.213 443 35494 6 11 6036 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.32.213 172.24.198.174 37748 53 17 1 76 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
{'timestamp': 1569838749000, 'message': '2 926668386439 eni-df1eff8f 172.24.7.77 172.24.32.213 7990 56130 6 8 2514 1569838749 1569838809 ACCEPT OK', 'ingestionTime': 1569838830186, 'hostname': 'plnasbam01'}
