{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26527 9851 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25750 19143 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26798 22737 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27275 38806 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27095 32857 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26584 36618 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26138 265 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25820 32675 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 26393 39945 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27339 10232 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 27282 22039 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25529 44423 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25915 13040 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
{'timestamp': 1569298157000, 'message': '2 858737304353 eni-9263bfe5 172.20.219.206 172.22.2.133 25539 45549 6 1 44 1569298157 1569298217 ACCEPT OK', 'ingestionTime': 1569298552373, 'hostname': 'SQL_IMAGE_TEMPLATE'}
