{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6887 52493 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6829 32906 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4134 12472 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3446 45496 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3363 4514 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3390 43025 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3813 30079 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5425 28958 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1543 24558 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3104 62823 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 815 53405 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
