{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 47015 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 55954 80 6 7 498 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56332 80 6 8 575 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 41737 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 38513 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56245 80 6 9 622 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 37393 53 17 2 224 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.23.20.167 172.22.15.116 80 51057 6 6 633 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.23.20.167 172.22.15.116 80 51068 6 6 541 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56193 80 6 7 518 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 46007 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56030 6 6 644 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56298 6 6 656 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 54377 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 57820 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 55971 80 6 6 447 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 49636 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 34573 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 55995 6 8 4182 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 47984 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 55951 6 8 4182 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 45291 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 55962 6 6 628 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 33237 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 36787 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56063 6 132 180356 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56271 80 6 7 532 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56041 6 15 13602 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56244 80 6 6 465 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 51795 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 53117 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
