{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 47509 53 17 1 81 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 58259 17 1 133 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 56208 53 17 1 106 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 59126 53 17 1 68 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.32.195 33702 443 6 33 2716 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 41231 17 2 405 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.109 172.24.32.138 3306 48876 6 7 2419 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 52859 53 17 1 81 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.20.192.187 39782 8383 6 6 889 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 60275 53 17 1 72 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.198.174 172.24.32.138 53 56208 17 1 165 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.198.174 38181 53 17 1 68 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.109 172.24.32.138 3306 48874 6 7 2419 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.195 172.24.32.138 443 33702 6 82 64556 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
{'timestamp': 1569837610000, 'message': '2 926668386439 eni-b5f9c9e4 172.24.32.138 172.24.32.109 48874 3306 6 9 1742 1569837610 1569837627 ACCEPT OK', 'ingestionTime': 1569837657470, 'hostname': 'plcrucible'}
