{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.20.192.187 172.23.20.150 8027 60911 6 2 112 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 59801 17 1 291 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606662000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 41273 17 1 291 1569606662 1569606717 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 47117 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 52858 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 52584 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 47770 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 38752 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 34198 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 54692 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 39101 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 35777 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 32973 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 52858 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 38752 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 42958 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 32973 17 1 291 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 47770 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 41305 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 34198 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 52584 17 2 409 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 42958 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 39101 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 47117 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 35777 53 17 1 72 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 54692 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606722000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 41305 53 17 2 166 1569606722 1569606777 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 37896 17 1 291 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 37896 53 17 1 72 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 57723 17 1 291 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 43066 17 2 409 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 43515 53 17 1 72 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 51941 17 2 409 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 40284 53 17 2 166 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 40284 17 2 409 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 51819 17 1 291 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 51638 17 2 409 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 52861 53 17 1 72 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 51003 53 17 2 166 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 36125 17 1 291 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 43515 17 1 291 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 51941 53 17 2 166 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 51819 53 17 1 72 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.24.198.174 172.23.20.150 53 51003 17 2 409 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 43066 53 17 2 166 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
{'timestamp': 1569606781000, 'message': '2 858737304353 eni-945196bb 172.23.20.150 172.24.198.174 36125 53 17 1 72 1569606781 1569606837 ACCEPT OK', 'ingestionTime': 1569607256150, 'hostname': 'rlcpp01'}
