{'timestamp': 1569242227000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 2 152 1569242227 1569242382 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242227000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 2 152 1569242227 1569242382 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242227000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 3 228 1569242227 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242227000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 3 228 1569242227 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242451000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46411 8027 6 1 52 1569242451 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242451000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46412 8027 6 3 292 1569242451 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242451000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46412 6 2 112 1569242451 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242451000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46411 6 1 40 1569242451 1569242502 ACCEPT OK', 'ingestionTime': 1569242556459, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242638000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 1 76 1569242638 1569242682 ACCEPT OK', 'ingestionTime': 1569243156419, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242638000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 1 76 1569242638 1569242682 ACCEPT OK', 'ingestionTime': 1569243156419, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242753000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 1 76 1569242753 1569242802 ACCEPT OK', 'ingestionTime': 1569243156419, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242753000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 1 76 1569242753 1569242802 ACCEPT OK', 'ingestionTime': 1569243156419, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.198.174 40826 53 17 2 178 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.193.237 45184 389 6 8 793 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.198.174 43046 53 17 2 178 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.20.193.237 172.23.20.118 389 45184 6 5 300 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.24.195.201 172.23.20.118 389 50224 6 3 561 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.195.201 50224 389 6 6 664 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.26 172.23.20.118 389 53999 6 5 300 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.24.198.174 172.23.20.118 53 43046 17 2 581 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.24.198.174 172.23.20.118 53 38824 17 2 411 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.24.198.174 172.23.20.118 53 40826 17 2 581 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.24.198.174 172.23.20.118 53 34703 17 2 551 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.27 172.23.20.118 389 60849 6 6 491 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.26 53999 389 6 7 741 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.27 60849 389 6 8 1048 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.198.174 38824 53 17 2 156 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242823000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.198.174 34703 53 17 2 148 1569242823 1569242862 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242887000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 1 76 1569242887 1569242922 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242887000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 1 76 1569242887 1569242922 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242946000, 'message': '2 858737304353 eni-5dfcca70 172.21.205.51 172.23.20.118 36504 135 6 1 60 1569242946 1569242982 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569242946000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.205.51 135 36504 6 1 40 1569242946 1569242982 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243012000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 1 76 1569243012 1569243042 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243012000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 1 76 1569243012 1569243042 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243051000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46417 6 2 112 1569243051 1569243102 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243051000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46417 8027 6 3 292 1569243051 1569243102 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243051000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46412 6 1 40 1569243051 1569243102 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243051000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46412 8027 6 1 52 1569243051 1569243102 ACCEPT OK', 'ingestionTime': 1569243157001, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243127000, 'message': '2 858737304353 eni-5dfcca70 172.20.205.66 172.23.20.118 46609 135 6 1 60 1569243127 1569243162 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243127000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.205.66 135 46609 6 1 40 1569243127 1569243162 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243164000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 1 76 1569243164 1569243222 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243164000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 1 76 1569243164 1569243222 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243243000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 1 76 1569243243 1569243282 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243243000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 1 76 1569243243 1569243282 ACCEPT OK', 'ingestionTime': 1569243757319, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243430000, 'message': '2 858737304353 eni-5dfcca70 172.20.196.146 172.23.20.118 123 123 17 2 152 1569243430 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243430000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.196.146 123 123 17 2 152 1569243430 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243542000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 1 76 1569243542 1569243583 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243542000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 1 76 1569243542 1569243583 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243601000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 57516 8383 6 8 999 1569243601 1569243643 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243601000, 'message': '2 858737304353 eni-5dfcca70 172.24.198.174 172.23.20.118 53 47083 17 2 409 1569243601 1569243643 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243601000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.198.174 47083 53 17 2 166 1569243601 1569243643 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243601000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8383 57516 6 8 3648 1569243601 1569243643 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.24.195.201 172.23.20.118 389 50224 6 2 92 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.24.195.201 50224 389 6 2 111 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46419 6 2 112 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.20.192.187 172.23.20.118 8027 46417 6 1 40 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46419 8027 6 3 292 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243651000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.20.192.187 46417 8027 6 1 52 1569243651 1569243703 ACCEPT OK', 'ingestionTime': 1569243757410, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243791000, 'message': '2 858737304353 eni-5dfcca70 172.21.210.146 172.23.20.118 123 123 17 1 76 1569243791 1569243823 ACCEPT OK', 'ingestionTime': 1569244357005, 'hostname': 'orc-ci-01-1'}
{'timestamp': 1569243791000, 'message': '2 858737304353 eni-5dfcca70 172.23.20.118 172.21.210.146 123 123 17 1 76 1569243791 1569243823 ACCEPT OK', 'ingestionTime': 1569244357005, 'hostname': 'orc-ci-01-1'}
