{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.28.16.2 7472 58921 6 28 15392 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.132 7472 37008 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.85 7472 46514 6 28 15616 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.177 172.23.25.159 44638 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.177 7472 44638 6 28 15680 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.221 172.23.25.159 36568 7472 6 28 15776 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.119 172.23.25.159 35542 7472 6 28 15776 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.100 7472 38692 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.28.16.2 172.23.25.159 58921 7472 6 22 14176 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.252 172.23.25.159 43072 7472 6 28 15744 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.180 7472 51983 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.76 7472 42371 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.100 172.23.25.159 38692 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.212 7472 44804 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.214.213 7472 53459 6 28 15392 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.192.250 172.23.25.159 56474 7472 6 28 15776 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.221 7472 36568 6 28 15616 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.214.138 7472 58941 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.84 7472 47457 6 28 15616 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.182 172.23.25.159 51394 7472 6 28 15776 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.83 172.23.25.159 42546 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.194 172.23.25.159 41859 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.138 7472 42733 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.102 172.23.25.159 47982 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.138 172.23.25.159 42733 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.180 172.23.25.159 51983 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.81 172.23.25.159 47266 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.85 172.23.25.159 46514 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.252 7472 43072 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.84 172.23.25.159 47457 7472 6 28 15808 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.76 172.23.25.159 42371 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.91 7472 39429 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.214.138 172.23.25.159 58941 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.83 7472 42546 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.102 7472 47982 6 28 15648 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
