{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48876 6 7 2419 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48832 3306 6 9 1742 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48832 6 7 2419 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 38774 3306 6 3 161 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 38774 6 1 52 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833069000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48876 3306 6 9 1742 1569833069 1569833080 ACCEPT OK', 'ingestionTime': 1569833114249, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39170 6 1830 453988 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39170 3306 6 1895 217998 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 18.220.194.52 33660 443 6 2 635 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 18.220.194.52 172.24.32.109 443 33660 6 1 401 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39166 6 3094 1089139 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833082000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39166 3306 6 3193 491750 1569833082 1569833089 ACCEPT OK', 'ingestionTime': 1569833131384, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39614 3306 6 1525 163245 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39624 3306 6 1356 145122 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39064 6 1435 374653 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39560 6 37 5103 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.138 172.24.32.109 48874 3306 6 9 1742 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39570 6 1532 190039 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39572 6 37 4611 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.138 3306 48874 6 7 2419 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39558 3306 6 38 4857 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39614 6 1518 188240 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39624 6 1342 167776 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39548 3306 6 37 4986 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39590 6 21 2737 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39564 3306 6 30 4017 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39556 3306 6 38 4885 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39542 3306 6 1363 147261 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39558 6 37 4855 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39590 3306 6 22 3152 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39564 6 29 3671 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39556 6 37 4889 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39548 6 36 7466 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39570 3306 6 1541 164933 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39560 3306 6 38 4832 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39542 6 1361 172895 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39064 3306 6 1497 176666 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833107000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39572 3306 6 38 4882 1569833107 1569833118 ACCEPT OK', 'ingestionTime': 1569833153065, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833117000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39552 6 37 4859 1569833117 1569833133 ACCEPT OK', 'ingestionTime': 1569833164429, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833117000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.213 172.24.32.109 39618 3306 6 14 2287 1569833117 1569833133 ACCEPT OK', 'ingestionTime': 1569833164429, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833117000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39544 6 205 25901 1569833117 1569833133 ACCEPT OK', 'ingestionTime': 1569833164429, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833117000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39528 6 46 6590 1569833117 1569833133 ACCEPT OK', 'ingestionTime': 1569833164429, 'hostname': 'plnasatlassiandb01'}
{'timestamp': 1569833117000, 'message': '2 926668386439 eni-841c2dd5 172.24.32.109 172.24.32.213 3306 39554 6 37 5097 1569833117 1569833133 ACCEPT OK', 'ingestionTime': 1569833164429, 'hostname': 'plnasatlassiandb01'}
