{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 46632 8027 6 3 286 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8027 46632 6 2 112 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8027 46627 6 2 104 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 45537 53 17 1 86 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 45537 17 1 278 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 39521 53 17 1 86 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692761000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 39521 17 1 137 1569692761 1569692820 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692941000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.196.146 123 123 17 1 76 1569692941 1569693000 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569692941000, 'message': '2 858737304353 eni-d90985f5 172.20.196.146 172.22.7.248 123 123 17 1 76 1569692941 1569693000 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693001000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 50319 389 6 8 882 1569693001 1569693061 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693001000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 50319 6 6 487 1569693001 1569693061 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
