{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 54740 17 2 597 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.25 48111 389 6 8 1046 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 44322 53 17 2 148 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 44322 17 2 567 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.26 45012 389 6 7 740 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 43760 17 2 385 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.20.192.26 172.24.98.145 389 45011 6 5 300 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.20.192.25 172.24.98.145 389 48111 6 6 491 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.26 45011 389 6 8 792 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 40840 17 2 597 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.227.218 33030 389 6 2 111 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 43760 53 17 2 168 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
