{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65118 8809 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63977 11742 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63257 24058 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64203 2713 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64020 52899 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63001 33206 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63661 33815 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64744 43410 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63435 21324 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65352 19385 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64755 41279 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63120 59 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62883 38763 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63398 23299 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65256 45175 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63421 56118 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63702 17152 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65529 2239 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64518 7842 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63109 14450 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63565 20821 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63351 18038 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64577 40020 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63295 64695 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64401 38496 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64250 14963 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65303 49165 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65309 36000 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65293 44825 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64267 52988 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 82 5901 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65209 27315 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63091 15406 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64015 2506 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63980 32100 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63411 64693 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64177 28907 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63338 19336 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63610 2383 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65484 12468 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63864 63373 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 4 1414 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64419 38974 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64292 4453 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
