{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 52.94.227.219 172.22.1.172 443 36240 6 16 6483 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 58208 53 17 2 164 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 42340 53 17 2 160 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 58208 17 2 282 1569601501 1569601542 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 52.54.238.178 172.22.1.172 443 49270 6 10 6117 1569601501 1569601602 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601501000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 52.54.238.178 49270 443 6 14 1651 1569601501 1569601842 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 56020 53 17 2 122 1569601551 1569601602 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 56020 17 2 272 1569601551 1569601602 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 38167 17 2 473 1569601551 1569601602 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 38167 53 17 2 160 1569601551 1569601602 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
